----------------------------------------------------------------------------------------------------
 Transacción	Fecha	Hora	Tipo	Código		Costo	Recibido	Vuelto
     N°					Mensaje
----------------------------------------------------------------------------------------------------
1	  2020-08-14	20:36	3	1		20	40		20
2	  2020-08-14	20:38	3	13		20	40		20
3	  2020-08-14	20:38	1	2		20	40		20
4	  2020-08-14	20:38	3	3		20	40		20
5	  2020-08-14	20:38	3	14		20	20		0
6	  2020-08-14	20:39	3	17		60	60		0
7	  2020-08-14	20:40	3	20		80	80		0
8	  2020-08-14	20:46	3	1		20	40		20
9	  2020-08-14	20:46	3	3		20	20		0
10	  2020-08-14	20:47	3	14		20	40		20
11	  2020-08-14	20:48	3	13		20	40		20
12	  2020-08-14	20:48	3	20		80	80		0
13	  2020-08-14	20:49	4	3		20	40		20
14	  2020-08-14	20:49	6	15		60	60		0
----------------------------------------------------------------------------------------------------
